ITEM NO.,DESCRIPTION,QUANTITY
SF-XL0462,XL FPC SALT - 2x25x20G,0.0
SF-XL0463,XL FPC BBQ- 2x25x20G,0.0
SF-XL0460,XL FPC HOT - 2x25x20g,0.0
SF-XL0461,XL FPC KETCHUP - 2x25x20G,0.0
SF-DUP0098,DUPLEX BOX - XL FRENCH CHEESE JOKER PROMO- 21G x 12P,2647.0
SF-SP1052,Hub Gear,2.0
SF-SP2383,Elevator peeler driven roller,1.0
SF-DUP0099,DUPLEX BOX - XL KETCHUP JOKER PROMO- 21G x 12P,886.0
SF-SP1051,Teflon Strip Support,15.0
SF-SP2382,Iso Cil.15552 D80ST=500 ,0.0
SF-SP1050,Speed Controller,4.0
SF-SP2381,Elevator peeler idler roller,1.0
SF-SP2380,Flanger for Cylinder Type P1C-4PMD,0.0
SF-DUP0094,DUPLEX BOX - FIESTA BACKED VINTAGE CHEESE - 23G x 12P,4470.0
SF-SP1056,Bush,0.0
SF-SP2387,B Flat Beater aluminum For 140 Qt bowl,0.0
SF-DUP0095,DUPLEX BOX - FIESTA BACKED RED HOT - 23G x 12P,5200.0
SF-SP1055,Knife 305x5 REV M,12.0
SF-SP2386,Power supply unit 2.5A 100-240V 1ph AC/2,1.0
SF-DUP0096,DUPLEX BOX - FIESTA BACKED JALAPENO BASIL - 23G x 12P,5150.0
SF-SP1054,Asembly 4140 SPLT HUB GEAR Rotary Jaws R3 REV D,0.0
SF-SP2385,KIT belt pulley 147 4x SPZ Air end pulley,1.0
SF-DUP0097,DUPLEX BOX - XL CRYSTAL SALT JOKER PROMO- 21G x 12P,12125.0
SF-SP1053,Former wear strip REV G,3.0
SF-SP2384,Potato feeding elevator drive pulley hole323x600 ,0.0
SF-XL0466,XL FPC FRENCH CHEESE - 5bagx14px23g,0.0
SF-XL0467,XL FPC SALT - 5bagx14px23g,0.0
SF-XL0464,XL FPC FRENCH CHEESE- 2x25x20G,0.0
SF-XL0465,XL FPC SALT VINEGEAR-2x25x20G,0.0
SF-XL0468,XL FPC BBQ - 5bagx14px23g,0.0
SF-XL0469,XL STICKS FLAMIN HOT -8TRYx6CANx40g,0.0
SF-SP1069,Fuel regulator,0.0
SF-SP1068,View class for Burner(Weishapt),0.0
SF-SP2399,"Metter DN 15 1/2""  K24",0.0
SF-XL0451,XL FPC SALT & VINI GER-2x6x165g (1+1 Promo),0.0
SF-XL0452,XL FPC FRENCH CHEESE 2x6x165g (1+1 Promo),0.0
SF-XL0450,XL FPC BARBEQUE 2x6x165g (1+1 Promo),0.0
SF-SP1063,Cland Pusher,1.0
SF-SP2394,Support Outer Side,2.0
SF-SP1062,Diesel Filter,2.0
SF-SP2393,Support Outer Side,2.0
SF-SP1061,Cylinder Double ACT Dia25x60,1.0
SF-SP2392,Grill,0.0
SF-SP1060,Brake drum,2.0
SF-SP2391,LOCK,0.0
SF-SP1067,Plug Coupling,4.0
SF-SP2398,Food Extrusion Screw 75mmx2330mm,0.0
SF-SP1066,Ignition cable 1250 mm long,8.0
SF-SP2397,Hatness S2 Communication,2.0
SF-SP1065,Servo motor,2.0
SF-SP2396,Support Inner Unit,2.0
SF-SP1064,LPG Magneting coil,1.0
SF-SP2395,Support Inner Side,2.0
SF-SP2390,Seal CR 14087,4.0
SF-XL0455,XL FPC SALT & VINEGEAR - 2x25x23g ,0.0
SF-XL0456,XL BITES FR CHEESE 8x6x20,0.0
SF-XL0453,XL FPC BBQ - 2x25x23gm,0.0
SF-XL0454,XL FPC FRENCH CHEESE - 2x25x23gm ,0.0
SF-XL0459,XL BITES SALT 8x6x20,0.0
SF-XL0457,XL BITES HOT 8x6x20,0.0
SF-XL0458,XL BITES KETCHUP 8x6x20,0.0
SF-CTN0093,CTN-RAJA VEGETABLE 30GX25,0.0
SF-DUP0076,DUPLEX BOX-RAJA HOT 20GX14PKTS,1243.0
SF-FC0049,FICOM PUFAK CHEESE Flona 5x20x12gm,0.0
SF-CTN0092,CTN-RAJA S/V 30GX25,0.0
SF-DUP0077,DUPLEX BOX-RAJA VEG 20GX14PKTS,5779.0
SF-CTN0095,CTN-RAJA S/V 35GX25,0.0
SF-DUP0078,DUPLEX BOX- Bugles Buffalo Sauce 15g x 12p (GM),0.0
SF-CTN0094,CTN-RAJA KETCHUP 35GX25,0.0
SF-DUP0079,DUPLEX BOX-Bugles Chili Lime 15g x 12p (GM),0.0
SF-DUP0072,DUPLEX BOX-CARREFORE SPICY SWEET CHILLI 23g x 12p,0.0
SF-FC0046,FICOM PUFAK CHEESE Original (RED POUCH) 5x20x12gm ,0.0
SF-CTN0091,CTN-RAJA KETCHUP 30GX25,0.0
SF-DUP0074,DUPLEX BOX-AMIGO NACHO CHEESE 20gX14p,4456.0
SF-FC0047,FICOM PUFAK CHEESE (GREEN SHIP) 5x20x12gm,0.0
SF-CTN0090,CTN-RAJA VEGETABLE 15GX100,24597.0
SF-DUP0075,DUPLEX BOX-AMIGO SWEET CHILI & PEPPER 20gX14p,3447.0
SF-FC0048,FICOM PUFAK CHEESE (Red Ship) 5x20x12gm,0.0
SF-CTN0089,CTN-RAJA SALT & VIN 100X15G,0.0
SF-DUP0080,DUPLEX BOX-Bugles Firey Hot 15g x 12p (GM),0.0
SF-DUP0081,DUPLEX BOX-Bugles Ketchup 15g x 12p (GM),7950.0
SF-DUP0082,DUPLEX BOX-Bugles Sweet Chili 15g x 12p (GM),10107.0
SF-CTN0086,CTN-RAJA VEGETABLE 15GX50,5558.0
SF-CTN0085,CTN-RAJA SALT & VIN - 15GX50,0.0
SF-CTN0088,CTN-RAJA KETCHUP 15GX100,8853.0
SF-CTN0087,CTN-RAJA HOT 15GX100,8349.0
LR-E0056,Chocodate Exclusive Assorted 500G Pouch,0.0
SF-DUP0087,DUPLEX BOX - XL FRENCH CHEESE - 21G x 12P,38400.0
SF-DUP0088,DUPLEX BOX - XL FLAMIN HOT - 21G x 12P,29363.0
SF-DUP0089,DUPLEX BOX - XL KETCHUP - 21G x 12P,23147.0
SF-DUP0083,DUPLEX BOX-Bugles Natcho 15g x 12p (GM),3027.0
SF-DUP0084,DUPLEX BOX-Bugles Original 15g x 12p (GM),979.0
SF-DUP0085,DUPLEX BOX-Bugles BBQ 15g x 12p (GM),15034.0
SF-DUP0086,DUPLEX BOX - XL BBQ - 21G x 12P,0.0
SF-DUP0090,DUPLEX BOX - XL RED CHILLI - 21G x 12P,27931.0
SF-DUP0091,DUPLEX BOX - XL CRYSTAL SALT - 21G x 12P,25692.0
SF-DUP0092,DUPLEX BOX - XL SALT & VINEGAR - 21G x 12P,7775.0
SF-DUP0093,DUPLEX BOX - FIESTA BACKED BLACK PEPPER - 23G x 12P,5150.0
SF-CTN0097,CTN-RAJA KETCHUP 35GX50,0.0
SF-CTN0096,CTN-RAJA VEGETABLE 35GX25,0.0
SF-CTN0099,CTN-RAJA VEGETABLE 35GX50,0.0
SF-CTN0098,CTN-RAJA S/V 35GX50,0.0
SF-CW0001,CRUNCH WELL PROTEIN PUFF ZATTAR 45gX20p,0.0
SF-DUP0058,DUPLEX BOX -TWINKLE KETCHUP - 20G x 8P,5200.0
SF-DUP0059,DUPLEX BOX -TWINKLE FOUR CHEESE - 20G x 8P,5200.0
SF-DUP0054,DUPLEX BOX -TWISTER HONEY BBQ - 18G x 15P,5394.0
SF-SP1096,Pressure guage,1.0
SF-DUP0055,DUPLEX BOX -TWISTER NACHO CHEESE - 18G x 15P,5195.0
SF-SP1095,Fuel pump E80-3phase-550W,0.0
SF-SP1094,Fuel Pump NVBHRGDC 4WL KSN 2000R(8210021400,0.0
SF-DUP0057,DUPLEX BOX -TWINKLE PEPPER JACK - 20G x 8P,5200.0
SF-SP1093,Fuel Pump T2C 10 7W,0.0
SF-CPM01066,Sleeve - 800g LaRonda Wishes,1000.0
SF-DUP0051,DUPLEX BOX-FAIRCO HOT PEPPER 24P x 20G,0.0
SF-SP1099,Pump Coupling ,2.0
SF-DUP0052,DUPLEX BOX-FAIRCO BRAZILIAN 24P x 20G,0.0
SF-SP1098,Ignition plug,10.0
SF-DUP0053,DUPLEX BOX-FAIRCO SALTED 24P x 20G,0.0
SF-SP1097,Diesel hose fitting,0.0
SF-DUP0060,DUPLEX BOX-XL BBQ-12p+4p EB+UV+MV Promo,0.0
SF-SP1092,Weishupt burner diesel pump Model TC2 10-7w,1.0
SF-SP1091,Regulating Cam Completer,2.0
SF-SP1090,Burner Controller,2.0
SF-CW0003,CRUNCH WELL PROTEIN PUFF PEANUT 45gX20p,2.0
SF-CW0002,CRUNCH WELL PROTEIN PUFF CHILLI 45gX20p,3.0
SF-DUP0069,DUPLEX BOX-SPIRAL FIERY CHEESE 20G x 14P,8795.0
SF-DUP0065,DUPLEX BOX-XL Salt & Vinegar -12p+4 EB+UV+MV Promo,8229.0
SF-DUP0067,DUPLEX BOX-WESEE TUBE CORN CHEESE 06g x 20p,40375.0
SF-DUP0068,DUPLEX BOX-WESEE TUBE SWEET CORN 06g x 20p,36795.0
SF-DUP0061,DUPLEX BOX-XL French Cheese -12p+4p EB+UV+MV Promo,0.0
SF-DUP0062,DUPLEX BOX-XL HOT -12p+4p EB+UV+MV Promo,387.0
SF-DUP0063,DUPLEX BOX-XL Ketchup -12p+4p EB+UV+MV Promo,0.0
SF-DUP0064,DUPLEX BOX-XL Salt -12p+4p EB+UV+MV Promo,0.0
SF-DUP0070,DUPLEX BOX-SPIRAL SPANISH TOMATO BASIL 20G x 14P,8795.0
SF-DUP0071,DUPLEX BOX-SPIRAL SALAD 20G x 14P,5395.0
SF-FC0085,FICOM PUFAK CHEESE (Red Ship) 5x20x18gm,26.0
SF-FC0086,FICOM PUFAK CHEESE Flona 5x20x18gm,103.0
SF-FC0087,FICOM CRISPY WHEEL SALT & VINEGAR 5x20x18gm,68.0
SF-FC0088,FICOM CRISPY SWEET & SOUR 5x20x18gm,48.0
SF-DUP0036,DUPLEX BOX-AMIGO TORT. SALTED-14p,0.0
SF-DUP0037,DUPLEX BOX-FIESTA. RED HOT-14p,121.0
SF-DUP0038,DUPLEX BOX-FIESTA. SALTED-14p,729.0
SF-DUP0039,DUPLEX BOX-FIESTA. S/CREAM-14p,2468.0
SF-DUP0032,DUPLEX BOX-XL SALT-10p,0.0
SF-DUP0033,DUPLEX BOX-XL SALT & VIN-10p,0.0
SF-DUP0034,DUPLEX BOX-AMIGO TORT. CHEESE-14p,0.0
SF-DUP0035,DUPLEX BOX-AMIGO TORT. CHILLI-14p,0.0
SF-TRY0040,TRAY-BESTO POTATO STICKS LIGHT SALTED 6 cans,11692.0
SF-DUP0030,DUPLEX BOX-XL HOT-10p,0.0
SF-TRY0041,TRAY-XL POTATO STICKS MILD SPICY- 6 CANS,21624.0
SF-DUP0031,DUPLEX BOX-XL KETCHUP-10p,0.0
SF-TRY0042,TRAY-XL POTATO STICKS ORIGINAL- 6 CANS,15467.0
SF-TRY0032,TRAY-CROWN POTATO STIX ALL FLAVOR-24can,11262.0
SF-TRY0033,TRAY-BESTO POTATO STICKS BARBEQUE 6 cans,3174.0
SF-TRY0034,TRAY-BESTO POTATO STICKS CHICKEN 6 cans,8068.0
SF-TRY0035,TRAY-BESTO POTATO STICKS HOT & SPICY 6 cans,22883.0
SF-TRY0036,TRAY-BESTO POTATO STICKS KETCHUP 6 cans,5698.0
SF-TRY0037,TRAY-BESTO POTATO STICKS CHILLI LEMON 6 cans,7882.0
SF-TRY0038,TRAY-BESTO POTATO STICKS PAPRIKA 6 cans,7100.0
SF-TRY0039,TRAY-BESTO POTATO STICKS RED HOT CHILLI 6 cans,5070.0
SF-DUP0047,Duplex Xtreme Potato Chips SALT 14Pkts,2100.0
SF-DUP0048,Duplex Xtreme Potato Chips CHICKEN 14Pkts,7240.0
SF-FC0071,FICOM CRISPY WHEEL SALT & VINEGAR 5x20x12gm,34.0
SF-DUP0049,Duplex Xtreme Potato Chips VEHETABLE 14Pkts,2978.0
SF-FC0072,FICOM CRISPY SWEET & SOUR 5x20x12gm,0.0
SF-DUP0043,Duplex Xtreme Potato Chips KETCHUP 14Pkts,3039.0
SF-DUP0044,Duplex Xtreme Potato Chips FRENCH CHEESE 14Pkts,3168.0
SF-DUP0045,Duplex Xtreme Potato Chips BBQ 14Pkts,3812.0
SF-DUP0046,Duplex Xtreme Potato Chips SALT & VINEGAR 14Pkts,16545.0
SF-DUP0040,DUPLEX BOX-XTREME PROMO 6px50g,0.0
SF-DUP0041,DUPLEX BOX-XTREME PROMO 12pX20g,0.0
SF-DUP0042,Duplex Xtreme Potato Chips HOT 14Pkts,6245.0
SF-TRY0043,TRAY-XL POTATO STICKS SEA SALT - 6 CANS,8720.0
SF-TRY0044,TRAY-XL POTATO STICKS THAI CAMPFIRE - 6 CANS,16869.0
SF-TRY0045,TRAY-XL POTATO STICKS KETCHUP - 6 CANS,5397.0
SF-DUP0018,DUPLEX BOX-XL SALT & VIN-14p,0.0
SF-DUP0019,DUPLEX BOX-XL BBQ-14p EB+UV+MV.,145.0
SF-DUP0014,DUPLEX BOX-XL FRENCH CHEESE-14p,12.0
LR-E1399,Chocodate Mars  Milk 1kg Bulk-KSA,202.056
SF-DUP0015,DUPLEX BOX-XL HO-14p,9.0
SF-DUP0016,DUPLEX BOX-XL KETCHUP-14p,0.0
SF-DUP0017,DUPLEX BOX-XL SALTED-14p,0.0
SF-DUP0010,Duplex Carrefour Tort Spicy Sweet Chill 23gm x 12p,4643.5
SF-DUP0011,DUPLEX BOX-XL SALTED-14p EB+UV,0.0
SF-DUP0012,DUPLEX BOX-XL SALT & VIN-14p EB+UV,0.0
SF-DUP0013,DUPLEX BOX-XL BBQ-14p,0.0
LR-E0075,Chocodate Classic Assorted 600g Pouch,0.0
SF-DUP0029,DUPLEX BOX-XL F.CHEESE-10p,0.0
SF-DUP0025,BOX-XL DUPLEX HOT-25GX15,0.0
SF-DUP0026,BOX-XL DUPLEX KETCHUP-25GX15,0.0
SF-DUP0027,BOX-XL DUPLEX SALT-25GX15,0.0
SF-FC0050,FICOM CRISPY WHEEL SALT & VINEGAR 4x20x12gm,0.0
SF-DUP0028,DUPLEX BOX-XL BBQ-10p,0.0
SF-FC0051,FICOM CRISPY SWEET & SOUR 4x20x12gm,0.0
SF-DUP0021,DUPLEX BOX-XL HOT-14p EB+UV+MV.,120.0
SF-DUP0022,DUPLEX BOX-XL KETCHUP-14p EB+UV+MV.,0.0
SF-DUP0023,DUPLEX BOX-XL SALTED-14p EB+UV+MV.,65.0
SF-DUP0024,DUPLEX BOX-XL SALT & VIN-14p EB+UV+MV.,1042.0
SF-DUP0020,DUPLEX BOX-XL FR. CHEESE-14p EB+UV+MV.,0.0
SF-CTN0002,CTN-XL Barbeque-15gx25x2,0.0
SF-CTN0001,CTN-MASTER XL-10x10x14g,0.0
SF-CTN0004,CTN -XL MASTER - 5bX20gX14p,0.0
SF-CTN0003,CTN -XL MASTER - 5bX12gX20p,0.0
SF-CTN0009,CTN-XL SALT.15gX50p,0.0
SF-CTN0006,CTN-XL HOT-15gX50p,0.0
SF-CTN0005,CTN-XL French Cheese-15gx25x2,2982.0
SF-CTN0008,CTN -XL MASTER - 50px15g,300.0
SF-CTN0007,CTN-XL KET-15gX50p,0.0
SF-DUP0007,Duplex Carrefour Tortilla Nacho Cheese 23gm x 12p,3910.0
SF-DUP0008,Duplex Carrefour Tortilla Spicy Nacho 23gm x 12p,7240.65
SF-DUP0009,Duplex Carrefour Tortilla Sweet Chilli 23gm x 12p,7799.95
SF-DUP0003,DUPLEX BOX-XL HOT-14p EB+UV+MV,0.0
SF-DUP0004,DUPLEX BOX-XL KETCHUP-14p EB+UV+MV,0.0
SF-DUP0005,DUPLEX BOX-XL SALTED-14p EB+UV+MV,0.0
SF-DUP0006,DUPLEX BOX-XL SALT & VIN-14p EB+UV+MV,0.0
GM TRIAL,GM Trial Running Cost,0.0
SF-DUP0001,DUPLEX BOX-XL BBQ-14p EB+UV+MV,0.0
SF-DUP0002,DUPLEX BOX-XL FRENCH CHEESE-14p EB+UV+MV,0.0
SF-CTN0013,CTN-AMIGO TORT. CHEESE 250GX8 NEW SIZE,1305.0
SF-CTN0012,CTN-XL French Cheese-15gx25x4,0.0
SF-CTN0015,CTN -XL MASTER - 4bx25px15g,0.0
SF-TRY0001,TRAY-XL POTATO STICKS F.CHEESE 6CANS,19650.0
SF-CTN0014,CTN - MASTER AMIGO - 12p X 180g NEW SIZE,20.0
SF-TRY0002,TRAY-XL POTATO STICKS HOT 6CANS,10460.0
SF-TRY0003,TRAY-XL POTATO STICKS KETCHUP 6CANS,13850.0
SF-TRY0004,TRAY-XL POTATO STICKS SALT 6CANS,17000.0
SF-CTN0011,CTN-XL Barbeque-15gx25x4,0.0
SF-TRY0005,TRAY-XL POTATO BITES F.CHEESE 6 CANS,12950.0
SF-CTN0010,CTN-XL S&V-15gX50p,0.0
SF-TRY0006,TRAY-XL POTATO BITES HOT 6 CANS,12950.0
SF-TRY0007,TRAY-XL POTATO BITES KET 6 CANS,12950.0
SF-TRY0008,TRAY-XL POTATO BITES SALT 6 CANS,12950.0
SF-TRY0009,TRAY-SOLO STICKS BARBEQUE 6 cans,10619.0
SF-CTN0017,CTN-XL S&V-15gx25xx4b,0.0
SF-CTN0016,CTN-XL SALT-15gx25xx4b,0.0
SF-CTN0019,CTN-XL Chicken-5x20x15g,0.0
SF-CTN0018,CTN-XL Barbeque-15gx20x5,0.0
SF-TRY0020,TRAY-XTREME POTATO STIX HOT 6 cans,27500.0
SF-CTN0024,CTN -XL MASTER - 5bx20px15g,1253.0
SF-TRY0010,TRAY-SOLO POTATO STICKS CHICKEN 6 cans,19333.6
SF-CTN0023,CTN-XL Ketchup-5bx20px15gm,0.0
SF-TRY0011,TRAY-SOLO POTATO STICKS H&S-6 cans,9537.0
SF-CTN0026,CTN-XL Salt & Vin-5bx20px15gm,0.0
SF-TRY0012,TRAY-SOLO POTATO STICKS KETCHUP- 6 cans,13200.0
SF-CTN0025,CTN-XL Salted-5bx20px15gm,0.0
SF-TRY0013,TRAY-SOLO POTATO STICKS CHILLI LEMON 6ca,6402.0
SF-CTN0020,CTN-XL Chilli-5x20x15g,0.0
SF-TRY0014,TRAY-SOLO POTATO STICKS PAPRIKA-6 cans,4760.0
SF-TRY0015,TRAY-SOLO POTATO STICKS RED HOT CHILLI-6,8507.0
SF-CTN0022,CTN-XL HOT-5bx20px15gm,0.0
SF-TRY0016,TRAY-SOLO POTATO STICKS SALTED- 6 cans,19683.0
SF-CTN0021,CTN-XL French Cheese-15gx20x5,0.0
SF-TRY0017,TRAY-FAIRCO POTATO STIX ALL FLAVOR-24can,75450.52
SF-TRY0018,TRAY-XTREME POTATO STIX FRENCH CHEESE 6 cans,13400.0
SF-TRY0019,TRAY-XTREME POTATO STIX CHICKEN 6 cans,13981.0
SF-CTN0028,CTN-XL Chilli-15gx100p,0.0
SF-CTN0027,CTN-XL Chicken-15gx100p,0.0
SF-CTN0029,CTN-XL FRENCH CHEESE-50x20g,0.0
SF-CTN0040,CTN-XL French Cheese-30gx25x2,0.0
SF-TRY0030,TRAY-LULU POTATO STICKS CHILLI- 6 CANS,9622.0
SF-TRY0031,TRAY-LULU POTATO STICKS CHEESE- 6 CANS,10325.0
SF-CTN0035,CTN-XL Chicken-30gx50p,0.0
SF-TRY0021,TRAY-XTREME POTATO STIX KETCHUP 6 cans,25300.0
SF-CTN0034,CTN-MASTER XL- 05x14x26g,0.0
SF-TRY0022,TRAY-XTREME POTATO STIX SALTED 6 cans,14499.0
SF-CTN0037,CTN-XL KETCHUP-30gx25p,0.0
SF-CTN0036,CTN-XL HOT-30gx25p,0.0
SF-TRY0024,TRAY-XL POTATO STICKS HOT CHILLI- 6 CANS,0.0
SF-CTN0031,CTN-XL SALTED-50x20g,0.0
SF-TRY0025,TRAY-XL POTATO STICKS LIGHTLY SALTED- 6 CANS,0.0
SF-CTN0030,CTN-XL KETCHUP-50x20g,0.0
SF-TRY0026,TRAY-XL POTATO STICKS GRILLED CHICKEN- 6 CANS,119.0
SF-CTN0033,CTN-XL MASTER 25GX15X5,0.0
SF-TRY0027,TRAY-XL POTATO STICKS KETCHUP- 6 CANS,0.0
SF-CTN0032,CTN-XL SALT & VIN-50x20,0.0
SF-TRY0028,TRAY-XL POTATO STICKS JALAPENO- 6 CANS,0.0
SF-TRY0029,TRAY-XL POTATO STICKS SWEET & SOUR- 6 CANS,920.0
SF-CTN0039,CTN-XL Barbeque-30gx25x2,0.0
SF-CTN0038,CTN-XL SALTED-30gx25p,0.0
SF-CTN0051,CTN-XL SALTED-35gx25px2,0.0
SF-CTN0050,CTN-XL MASTER BITES 35gx6CANsx8TRAYs,0.0
SF-FC0001,FICOM PUFAK CHEESE Original (RED POUCH) 5x20x18gm,78.0
SF-FC0002,FICOM PUFAK CHEESE 4x20x23gm (GREEN POUCH),0.0
SF-FC0003,FICOM PUFAK CHEESE 4x20x18gm (GREEN POUCH),0.0
LR-AR0009,LaRonda Wishes Heart Shape Almond Praline 1Kg Bulk,0.0
SF-FC0004,FICOM PUFAK CHEESE (GREEN SHIP) 5x20x18gm,43.0
SF-CTN0046,CTN-XL PROMO-30gx25,0.0
SF-CTN0045,CTN-XL S&V-30gx25px2,0.0
SF-CTN0048,CTN-XL HOT-35gx25px2,0.0
SF-CTN0047,CTN-XL MASTER STICK 35gx6CANsx8TRAYs,0.0
SF-CTN0042,CTN-XL KETCHUP-30gx25px2,0.0
SF-CTN0041,CTN-XL HOT-30gx25px2,0.0
LR-AR0011,Abood Ramadan Calendar Box Promo 24x330g ,0.0
SF-CTN0044,CTN-XL SALTED-30gx25px2,0.0
SF-CTN0043,CTN- XL MASTER - 2bx25px25g,2903.0
SF-CTN0049,CTN-XL KETCHUP-35gx25px2,0.0
SF-CTN0060,CTN-XL SALTED-50x50g,0.0
SF-CTN0062,CTN-XL BBQ-70gx12p,0.0
SF-CTN0061,CTN-XL Salt & Vin-50x50g,0.0
SF-CTN0057,CTN-XL SALT & VIN-50x40g,0.0
SF-CTN0056,CTN-XL SALTED-50x40g,0.0
SF-CTN0059,CTN-XL KETCHUP-50x50g,0.0
SF-CTN0058,CTN-XL FRENCH CHEESE-50x50g,0.0
LR-AR0002,Arabian Delights Choco Apricot Assorted 100g Pouch,0.0
SF-CTN0053,CTN-XL ALL FLAVOURS- 48X40g,0.0
LR-AR0003,Arabian Delights Chocodate Coconut 100g Pouch,0.0
SF-CTN0052,CTN-XL S&V-35gx25px2,0.0
SF-CTN0055,CTN-XL KETCHUP-50x40g,0.0
LR-AR0001,Arabian Delights Choco Figs 100 Pouch,0.0
SF-CTN0054,CTN-XL FRENCH CHEESE-50x40g,0.0
SF-CTN0071,CTN-XL SALTED - 70gx18p,0.0
SF-CTN0070,CTN-XL KET - 70gx18p,0.0
SF-CTN0073,CTN-XL BBQ-75gx12p,0.0
SF-CTN0072,CTN-XL 70gx18 GLOBAL,0.0
SF-CTN0068,CTN-XL CHILLI - 70gx18p,0.0
SF-CTN0067,CTN-XL BBQ - 70gx18p,0.0
SF-CTN0069,CTN-XL JALAPENO - 70gx18p,0.0
SF-CTN0064,CTN-XL JALAPENO-70gx12p,0.0
SF-CTN0063,CTN-XL CHILLI-70gx12p,0.0
SF-CTN0066,CTN-XL SALTED-70gx12p,0.0
SF-CTN0065,CTN-XL KET-70gx12p,0.0
SF-CTN0082,CTN-XL 30gx50 N 150gx12 GLOBAL,11.0
SF-CTN0081,CTN-XL SALTED-150gx6p,0.0
SF-CTN0084,CTN-RAJA KETCHUP 15GX50,0.0
SF-CTN0083,CTN-RAJA HOT - 15GX50,0.0
SF-CTN0080,CTN-XL PAPRIKA-150gx6p,0.0
SF-CTN0079,CTN-XL KET-150gx6p,0.0
SF-CTN0078,Carton - 5Ply XL Display Shipper,178.0
SF-CTN0075,CTN-XL JALAPENO-75gx12p,0.0
SF-CTN0074,CTN-XL CHILLI-75gx12p,0.0
SF-CTN0077,CTN-XL SALTED-75gx12p,0.0
SF-CTN0076,CTN-XL KET-75gx12p,0.0
SF-SP2402,"Metter DN 50 2""  K-24",0.0
SF-SP2401,"Metter DN 40 11/2""  K-24",0.0
SF-SP2400,"Metter DN 25 1""  K-24",0.0
SF-SP2406,Relay Panel I/O Board ,0.0
SF-SP2405,ECO Drain Kit Valve 13,2.0
SF-FLV0100,FLV-SALT (Bugles),801.0
SF-SP2404,Filter Element ,2.0
SF-SP2403,Acrylic Hooper ,0.0
SF-FLV0101,FLV-SALT (For flavouring) Blue,0.0
SF-SP2413,Modular Belt ,0.0
SF-SP2412,Leafage Vacuum Pump,0.0
SF-SP2411,Cylinder Chain Bag,0.0
SF-SP2410,Sensor,4.0
SF-SP2417,Vibrator  (220V 50Hz 1HP 0.13A 3000RPM),3.0
SF-SP2416,Cutter Round 2.601x1.750 UHMW 5R,2.0
SF-SP2415,Die Head Casing ,0.0
SF-SP2414,Sprocekt  10 Theeth ,0.0
SF-XL0516,XL FPC Flaming Hot 40g x 36pkts,658.5822
SF-SP2409,Die Plate oval Head,0.0
SF-SP2408,TT Ribbon Black Ink Out 33mmx500Mtr,0.0
SF-SP2407,Rectangular Net Roller DR-19,0.0
SF-XL0514,XL FPC HOT - 4x22x14g,0.0
SF-XL0515,XL FPC Flaming Hot 250g x 12pkts,38.0833
SF-SP1115,Eye mark controller ,0.0
SF-SP2446,Belt DM03,9.0
SF-SP1114,Heater Cartrige,2.0
SF-SP2445,Take up Reel Assy DM03,2.0
SF-SP1113,Photo sensor,1.0
SF-SP2444,Supply Reel Assy DM03,2.0
SF-SP1112,Stripper stoper,3.0
SF-SP2443,PCB Main DM03,1.0
SF-SP1119,Servo Drive,0.0
SF-SP1118,Motor EMP G 643 DC 1HP,1.0
SF-SP2449,Stainless steel pipe for Extruder cooling system,0.0
SF-SP1117,Solenoid valve,1.0
SF-SP2448,Sealing Draw,0.0
SF-SP1116,Counter,1.0
SF-SP2447,Former ,0.0
SF-SP1111,Reactor coil,19.0
SF-SP2442,Printer TTO (Intermittent modeRH),1.0
SF-SP1110,Heater vertical,0.0
SF-SP2441,Endless Conveyor Belt ,0.0
SF-SP2440,Gauge,4.0
SF-MIC0082,Sticker-XL0909,0.0
SF-MIC0081,Sticker-XL0907,0.0
SF-MIC0080,Sticker-XL0908,0.0
SF-MIC0086,Sticker-XL0970,0.0
SF-MIC0085,Sticker-XL0969,0.0
SF-MIC0084,Sticker-XL0968,0.0
SF-MIC0083,Sticker-XL0967,0.0
SF-SP1109,Stripper Plate,12.0
SF-MIC0089,Sticker-XL0943,0.0
SF-MIC0088,Sticker-XL0945,0.0
SF-MIC0087,Sticker-XL0944,0.0
SF-SP1126,Suppressor board,2.0
SF-SP2457,Gas Strut 120MM 50N ,1.0
SF-SP1125,Logic Controller,2.0
SF-SP2456,Magnetic filter -Boilermag XL-1 1/2'' Screw end,1.0
SF-SP1124,Tank Gauge,1.0
SF-SP1123,5 Ohms port meter,3.0
SF-SP2454,Thermal Cable,91.0
SF-SP1129,Level controller board,2.0
SF-SP1128,Logic Controller-2,2.0
SF-SP2459,Vacuum Vanes For SV 1040 Pump ,0.0
SF-SP1127,Circuit board,1.0
SF-SP2458,Ring Labyrinth Rev -B ,2.0
SF-SP1122,Photo Sensor,1.0
SF-SP1121,Capacitor,2.0
SF-SP2452,17358-01 ME Poreon Black Ink Casstte ,30.0
SF-SP1120,Vacuum pump coupling,2.0
SF-SP2451,Conveyor metal detector Display board,0.0
SF-SP2450,Rollers for cutting unit HSU100,0.0
SF-GM0035,BUGLES Smokin BBQ 20px30g ( 700-6000524 ),0.0
SF-MIC0071,Sticker-XL0925,0.0
SF-GM0036,BUGLES Natcho Cheese 20px 30g ( 700-6000523 ),847.0
SF-MIC0070,Sticker-XL0950,0.0
