ITEM NO.,DESCRIPTION,QUANTITY
SF-SP1749,Customized PVC belt Green L3040MMXW230MM,0.0
SF-SP0416,Bearing Unit :Liner Guide,0.0
SF-SP1748,PVC Belt Green L5660MMXW500MM T2.0,0.0
SF-SP0417,Bracket:Seal jaw: ,6.0
SF-SP1747,Linx Solvent (1 LTR/Cartridge),0.0
SF-SP0432,Loadcell DLC-80L Apex-V,0.0
SF-SP1764,Slice Thickness setting Gauge ,0.0
SF-SP0433,Block B Heater Replacement ,3.0
SF-SP1763,Impeller 5Paddle 13.906 OD SS,0.0
SF-SP0430,Controller Servo AS M2(Amplifier ),0.0
SF-SP1762,Cooling Jacket for Zone 23,0.0
SF-SP0431,MOTOR:AC SERVO M2,0.0
SF-SP1761,Anker Fastener ,0.0
SF-SP0436,Case:Connecting:2,4.0
SF-SP1768,Top Support Ring SS,1.0
SF-SP0437,Motor AS AC Servo M3 ,0.0
SF-SP1767,Roller Bearing ,2.0
SF-SP0434,Belt:Heater Long Life(KIT 283-1359x20),1.0
SF-SP1766,Roller Bearing,4.0
SF-SP0435,Block B:Stripper:,2.0
SF-SP1765,Cutting Head Support SS,1.0
SF-CPM00885,Sticker - 400g LaRonda Wishes English,7750.0
SF-SP1760,Fastener 2.5 and 3.5 mm thickness belt,0.0
SF-CPM00884,Carton - 8x650g 5Ply LaRonda Wishes,326.0
SF-CPM00883,Carton - 16x400g 5Ply LaRonda Wishes,191.0
SF-CPM00889,Box - 400g LaRonda Wishes Acrylic,6258.0
SF-CPM00888,Sticker - 650g LaRonda Wishes Arabic,5000.0
SF-CPM00887,Sticker - 650g LaRonda Wishes English,8750.0
SF-CPM00886,Sticker - 400g LaRonda Wishes Arabic,8000.0
SF-SP0429,BASE: FRONT ,0.0
SF-SP0427,Base:Link,0.0
SF-SP1759,Food grade belt L-9200mm x W-590mm x thick-2.5mm,0.0
SF-SP0428,Controller Servo AS M3(Amplifier ),0.0
SF-SP1758,Endless green PVC belt L-2055mm x W-60mm x Thic1.5,0.0
SF-SP1731,Prodidgit 18 LCD with Touch Panel ,0.0
SF-SP0400,Gear spiral center,3.0
SF-SP1730,AT 28C64B 15C 0144 IC ,0.0
SF-SP0403,Gear:Rack:,0.0
SF-SP1735,Cylinder Door Supporter For RM-100,0.0
SF-SP0404,Bearing Radial,6.0
SF-SP1734,Cylinder Door Supporter For RM-300,0.0
LPM01026,POF Shrink Film - Bollore,23.0
SF-SP0401,BOSS LOCK,0.0
SF-SP1733,Door Packing For RM-100 (PL NO M-106010604),0.0
SF-SP0402,LC TLC-6L Scale Load Cell,0.0
SF-SP1732,Door Packing For RM-300 (PL NO M-104030401),0.0
SF-SP1728,Printer Stand Set,0.0
SF-SP1726,End Seal Heater Block Assy ( Front & Back ),0.0
SF-SP1725,Weigh/Actuator Unit PL56111050058,0.0
SF-SP1729,Motor DC Brushed 1.5kw 5.3Nm Robagg 2,0.0
SF-SP0410,Blade Carbon ,0.0
SF-SP1742,Thermal Relay:TH-N12,2.0
SF-SP0411,Power supply swiching ,2.0
SF-SP1741,Display AS:LCD:CCW-M,0.0
SF-SP1740,Oval Plastic Chute ,3.0
SF-SP0414,Gear Spirl Planetary,2.0
SF-SP1746,HOUSING:BEARING,2.0
SF-SP0415,Bearing Unit :Liner Guide,3.0
SF-SP1745,HOUSING:BEARING,2.0
SF-SP0412,Lever :Cutter :2 ,2.0
SF-SP1744,BEARING:RADIAL:ANGULAR,4.0
SF-SP0413,PWB P-5428C-1,0.0
SF-SP1743,PUSHER:BEARING:,0.0
LPM02340,Sticker - Transparent Round Fusion 70x70mm,9000.0
LPM02341,Box - 180g(16pc) Galaxy Fusion Gifting Xmas,0.0
LPM02342,Box - 271g(24pc) Galaxy Fusion Gifting Xmas,2978.0
SF-SP0407,Controller drive motor,1.0
SF-SP1739,Silcon Oil Seal TC-70*90*12 For RM-100,0.0
SF-SP0408,PWP P-5424 E3,2.0
SF-SP1738,C Buckle,2.0
SF-SP0405,Shaft:Driven Pulley,0.0
SF-SP1737,Bush 90*70.5*32.5L,2.0
SF-SP0406,Synchro Belt HTD 712x25x8M,8.0
